statNm,addr,chgerType,useTime,lat,lng,output,limitYn,limitDetail
운남주공4단지아파트3 충전소,광주광역시 광산구 목련로273번안길 30,2,24시간 이용가능,35.1775382,126.8212329,7.0,Y,거주자외 출입제한
운남주공4단지아파트4 충전소,광주광역시 광산구 목련로273번안길 30,2,24시간 이용가능,35.177863154,126.82152863,7.0,Y,거주자외 출입제한
광주 덕남정수사업소 충전소,광주광역시 남구 덕남1길 27,2,24시간 이용가능,35.096662379,126.89285562,7.0,N,시설 상황에 따라 이용이 제한될 수 있음
광주센텀시티 급속충전소,광주광역시 동구 금남로 232-4,4,24시간 이용가능,35.148787576,126.91790458,100.0,N,거주자외 출입제한
광주 센텀시티,광주광역시 동구 금남로 232-4,2,24시간 이용가능,35.148787582,126.91791281,7.0,N,시설 상황에 따라 이용이 제한될 수 있음
광주 봉선금호2차아파트 충전소,광주광역시 남구 봉선로 134,2,24시간 이용가능,35.1226172,126.90939289,7.0,N,거주자외 출입제한
광주서구청 급속충전소,광주광역시 서구 상무공원로 101,4,24시간 이용가능,35.153393397,126.84109565,50.0,N,시설 상황에 따라 이용이 제한될 수 있음
광주 도천동 판관공빌딩 급속충전소,광주광역시 광산구 임방울대로 527,4,24시간 이용가능,35.2058666,126.8205927,50.0,N,시설 상황에 따라 이용이 제한될 수 있음
광주 중앙빌딩 충전소(ECAR),광주광역시 북구 태봉로 67,2,24시간 이용가능,35.1630954,126.9055998,7.0,N,외부인 사용 불가
광주 에코하우스조성공사 급속충전소(조달청),광주광역시 서구 경열로45번길 26,4,24시간 이용가능,35.1529487,126.8923399,50.0,N,시설 상황에 따라 이용이 제한될 수 있음
광주 오아시스요양병원,광주광역시 동구 남계길 17,2,24시간 이용가능,35.095821806,126.93927263,7.0,N,시설 상황에 따라 이용이 제한될 수 있음
광주 하남성심병원,광주광역시 광산구 용아로 259,2,24시간 이용가능,35.167343238,126.80060259,7.0,N,기타
광주 상무비즈센터,광주광역시 서구 상무시민로 103,2,24시간 이용가능,35.155530875,126.85051111,7.0,N,기타
