Title,Author,Rating,Views
찌복툰,찌복,9.61,22만
마왕이 되는 방법,고니gony,9.81,95만
오춘기 김작가의 그림일기,오춘기 김작가,9.85,160만
"네, 아직 아파요",skdm****,9.49,54만
"안녕,미라",에이리,9.39,7.8만
사랑이 모락모락,yon2****,9.56,23만
마피아게임에 어서오세요,함소빌,9.48,101만
개같은 사이,김태희,9.53,10만
원인탐구생활,코롱,9.88,646만
지구의 운명이 9회말 2아웃,Kiddo,7.08,"6,362"
루저들의 산티아고,잘생긴루저,9.69,21만
싱글맘맘이야,gima****,9.91,"1,077만"
짐승짐,순두,9.52,21만
풀소유,dmlw****,9.88,1.7만
사미곶,박정욱,9.25,1.1만
낮잠 자는 사람들,루미,9.90,395만
어쩌면 우리도,콩묘,9.58,4.4만
현실몽,우스톤,9.32,"5,798"
여기서 한잔할래?,soft****,9.72,912만
딜레마 존,야나백수,9.62,7만
후크,nj****,9.87,165만
전직 히키코모리 갱생툰,힝,9.50,192만
우리 길드 아이돌,꼬보,9.84,76만
나의 대주주가 되어주오,qwef****,9.58,7.7만
그 영애가 북부대공의 청혼을 거절한 이유,누아랑,9.36,21만
도깨비를 키우는 방법,dlwo****,9.81,20만
인디언,마리아,9.76,13만
미생물,기제희,9.03,1.1만
우리 아이는 외계인에게 납치됐어요,PiT,9.66,1.2만
킬러와 여고생 그리고 개,릴리리하,8.86,1.3만
결혼사수스캔들,해수,9.64,6만
돌아온 붕어빵 가족,햄스타,9.32,6.8만
마트의 매직맨,부메랑 마스터,9.35,"5,018"
요리조리,백면,9.82,15만
결혼하고 싶지 않았는데 못하게 되었다.,정변,9.83,455만
미가식당-낭만무용담,이보테,9.48,"5,663"
천상대전,myju****,9.85,363만
이롭게 하소서!,재누,9.15,3.2만
불철주야,GONU,9.40,1만
영웅은 아무나 한다,수방덕,8.38,"6,948"
내가 저주하는 히어로,꼬보,9.89,44만
라이프,닌영,9.75,19만
203호 저승사자,@샤니,9.74,144만
재회와 유령의 이야기,이누리,9.77,7만
가울,Dexie,9.86,25만
사내 기밀,선월,8.68,4.1만
구름 위 오리,언니,9.88,16만
왜 벌써 어른이쥐,여구리,9.22,30만
미가식당,이보테,9.22,3.3만
예수쟁이 다이어리 [시즌2],왕두,9.33,132만
저주의 나라,wool****,8.28,"4,937"
그녀를 위해 너는 죽어야 한다,비얌Biyam,8.45,"8,019"
퍼펙트 위치,메로니모,9.47,"7,377"
라떼는 말이야,노뱀,9.71,28만
그 아이는,시카,9.81,8만
문 캐피탈,때밋,8.53,"3,902"
배고픈 새가 일찍 일어난다,세싸미,9.24,7.4만
여우별잡이,huzi****,9.20,1.4만
시월이툰,kkam****,9.90,859만
여우야 여우야 뭐하니,곰설,9.88,3.2만
힐러님 뭐해?,금요인,9.21,17만
D-DAY,주우주,9.18,2.5만
방생금지,신연정,9.29,6.4만
연애 고수되는 법,고니,9.53,42만
코히어런트,web,9.42,1.6만
신령의 아이,여지한,9.69,14만
밀어내려고 키스!,비마싯,9.40,5.2만
고인물이 뉴비를 대하는 자세,원자번호20,9.13,7.4만
"엄마 ""좀"" 구해줘",김세울,9.31,1.2만
아틸라,김상철,8.98,"4,727"
작성자OO,이배n반숙,9.17,2.3만
창문을 닫아도 빗소리는 들려,글 송이 그림 송화,8.68,1.6만
이상한 심부름 동아리!,록록,9.58,1.5만
0의 온도,0g,9.14,"9,367"
영구결번,농맨,9.84,21만
음대놈들,베베캐롯,9.90,4.6만
좀비 베이비,햇나,9.86,3.1만
버그 in 아포칼립스,푸들왕,9.80,2.2만
도담도담,진수,9.38,25만
